timestamp,project,article,granularity,access,agent,view
2023-10-26,en.wikipedia,Dog,daily,all-access,user,11937
2023-10-27,en.wikipedia,Dog,daily,all-access,user,10713
2023-10-28,en.wikipedia,Dog,daily,all-access,user,8687
2023-10-29,en.wikipedia,Dog,daily,all-access,user,9469
2023-10-30,en.wikipedia,Dog,daily,all-access,user,11501
2023-08-26,en.wikipedia,Cat,daily,all-access,user,18529
2023-08-27,en.wikipedia,Cat,daily,all-access,user,19204
2023-08-28,en.wikipedia,Cat,daily,all-access,user,21537
2023-08-29,en.wikipedia,Cat,daily,all-access,user,19060
2023-08-30,en.wikipedia,Cat,daily,all-access,user,21003
2023-08-31,en.wikipedia,Cat,daily,all-access,user,16101
2023-09-01,en.wikipedia,Cat,daily,all-access,user,22290
2023-09-02,en.wikipedia,Cat,daily,all-access,user,18894
2023-09-03,en.wikipedia,Cat,daily,all-access,user,26783
2023-09-04,en.wikipedia,Cat,daily,all-access,user,22494
2023-09-05,en.wikipedia,Cat,daily,all-access,user,19199
2023-09-06,en.wikipedia,Cat,daily,all-access,user,23036
2023-09-07,en.wikipedia,Cat,daily,all-access,user,20715
2023-09-08,en.wikipedia,Cat,daily,all-access,user,20527
2023-09-09,en.wikipedia,Cat,daily,all-access,user,13981
2023-09-10,en.wikipedia,Cat,daily,all-access,user,13868
2023-09-11,en.wikipedia,Cat,daily,all-access,user,19817
2023-09-12,en.wikipedia,Cat,daily,all-access,user,21988
2023-09-13,en.wikipedia,Cat,daily,all-access,user,21095
2023-09-14,en.wikipedia,Cat,daily,all-access,user,19584
2023-09-15,en.wikipedia,Cat,daily,all-access,user,27371
2023-09-16,en.wikipedia,Cat,daily,all-access,user,31111
2023-09-17,en.wikipedia,Cat,daily,all-access,user,34020
2023-09-18,en.wikipedia,Cat,daily,all-access,user,35765
2023-09-19,en.wikipedia,Cat,daily,all-access,user,40870
2023-09-20,en.wikipedia,Cat,daily,all-access,user,27603
2023-09-21,en.wikipedia,Cat,daily,all-access,user,22290
2023-09-22,en.wikipedia,Cat,daily,all-access,user,24963
2023-09-23,en.wikipedia,Cat,daily,all-access,user,19141
2023-09-24,en.wikipedia,Cat,daily,all-access,user,17936
2023-09-25,en.wikipedia,Cat,daily,all-access,user,22077
2023-09-26,en.wikipedia,Cat,daily,all-access,user,21194
2023-09-27,en.wikipedia,Cat,daily,all-access,user,26445
2023-09-28,en.wikipedia,Cat,daily,all-access,user,22954
2023-09-29,en.wikipedia,Cat,daily,all-access,user,24355
2023-09-30,en.wikipedia,Cat,daily,all-access,user,22779
2023-10-01,en.wikipedia,Cat,daily,all-access,user,21875
2023-10-02,en.wikipedia,Cat,daily,all-access,user,22653
2023-10-03,en.wikipedia,Cat,daily,all-access,user,22155
2023-10-04,en.wikipedia,Cat,daily,all-access,user,24387
2023-10-05,en.wikipedia,Cat,daily,all-access,user,23147
2023-10-06,en.wikipedia,Cat,daily,all-access,user,23545
2023-10-07,en.wikipedia,Cat,daily,all-access,user,22292
2023-10-08,en.wikipedia,Cat,daily,all-access,user,21758
2023-10-09,en.wikipedia,Cat,daily,all-access,user,22903
2023-10-10,en.wikipedia,Cat,daily,all-access,user,24157
2023-10-11,en.wikipedia,Cat,daily,all-access,user,28595
2023-10-12,en.wikipedia,Cat,daily,all-access,user,32197
2023-10-13,en.wikipedia,Cat,daily,all-access,user,30328
2023-10-14,en.wikipedia,Cat,daily,all-access,user,32182
2023-10-15,en.wikipedia,Cat,daily,all-access,user,27055
2023-10-16,en.wikipedia,Cat,daily,all-access,user,26222
2023-10-17,en.wikipedia,Cat,daily,all-access,user,24679
2023-10-18,en.wikipedia,Cat,daily,all-access,user,21175
2023-10-19,en.wikipedia,Cat,daily,all-access,user,27134
2023-10-20,en.wikipedia,Cat,daily,all-access,user,25753
2023-10-21,en.wikipedia,Cat,daily,all-access,user,22865
2023-10-22,en.wikipedia,Cat,daily,all-access,user,21730
2023-10-23,en.wikipedia,Cat,daily,all-access,user,24749
2023-10-24,en.wikipedia,Cat,daily,all-access,user,22121
2023-10-25,en.wikipedia,Cat,daily,all-access,user,25096
2023-10-26,en.wikipedia,Cat,daily,all-access,user,24120
2023-10-27,en.wikipedia,Cat,daily,all-access,user,25689
2023-10-28,en.wikipedia,Cat,daily,all-access,user,32207
2023-10-29,en.wikipedia,Cat,daily,all-access,user,22428
2023-10-30,en.wikipedia,Cat,daily,all-access,user,23673
2023-08-26,en.wikipedia,Parrot,daily,all-access,user,1995
2023-08-27,en.wikipedia,Parrot,daily,all-access,user,2120
2023-08-28,en.wikipedia,Parrot,daily,all-access,user,2044
2023-08-29,en.wikipedia,Parrot,daily,all-access,user,1931
2023-08-30,en.wikipedia,Parrot,daily,all-access,user,1893
2023-08-31,en.wikipedia,Parrot,daily,all-access,user,2015
2023-09-01,en.wikipedia,Parrot,daily,all-access,user,1845
2023-09-02,en.wikipedia,Parrot,daily,all-access,user,1927
2023-09-03,en.wikipedia,Parrot,daily,all-access,user,2284
2023-09-04,en.wikipedia,Parrot,daily,all-access,user,2168
2023-09-05,en.wikipedia,Parrot,daily,all-access,user,1881
2023-09-06,en.wikipedia,Parrot,daily,all-access,user,1814
2023-09-07,en.wikipedia,Parrot,daily,all-access,user,1975
2023-09-08,en.wikipedia,Parrot,daily,all-access,user,1921
2023-09-09,en.wikipedia,Parrot,daily,all-access,user,1777
2023-09-10,en.wikipedia,Parrot,daily,all-access,user,2037
2023-09-11,en.wikipedia,Parrot,daily,all-access,user,2029
2023-09-12,en.wikipedia,Parrot,daily,all-access,user,2060
2023-09-13,en.wikipedia,Parrot,daily,all-access,user,1960
2023-09-14,en.wikipedia,Parrot,daily,all-access,user,2017
2023-09-15,en.wikipedia,Parrot,daily,all-access,user,1882
2023-09-16,en.wikipedia,Parrot,daily,all-access,user,1885
2023-09-17,en.wikipedia,Parrot,daily,all-access,user,1964
2023-09-18,en.wikipedia,Parrot,daily,all-access,user,1743
2023-09-19,en.wikipedia,Parrot,daily,all-access,user,1986
2023-09-20,en.wikipedia,Parrot,daily,all-access,user,1939
2023-09-21,en.wikipedia,Parrot,daily,all-access,user,2027
2023-09-22,en.wikipedia,Parrot,daily,all-access,user,1874
2023-09-23,en.wikipedia,Parrot,daily,all-access,user,1844
2023-09-24,en.wikipedia,Parrot,daily,all-access,user,2114
2023-09-25,en.wikipedia,Parrot,daily,all-access,user,1981
2023-09-26,en.wikipedia,Parrot,daily,all-access,user,2063
2023-09-27,en.wikipedia,Parrot,daily,all-access,user,1909
2023-09-28,en.wikipedia,Parrot,daily,all-access,user,1936
2023-09-29,en.wikipedia,Parrot,daily,all-access,user,1973
2023-09-30,en.wikipedia,Parrot,daily,all-access,user,1874
2023-10-01,en.wikipedia,Parrot,daily,all-access,user,1887
2023-10-02,en.wikipedia,Parrot,daily,all-access,user,2059
2023-10-03,en.wikipedia,Parrot,daily,all-access,user,2045
2023-10-04,en.wikipedia,Parrot,daily,all-access,user,2060
2023-10-05,en.wikipedia,Parrot,daily,all-access,user,1989
2023-10-06,en.wikipedia,Parrot,daily,all-access,user,1929
2023-10-07,en.wikipedia,Parrot,daily,all-access,user,1835
2023-10-08,en.wikipedia,Parrot,daily,all-access,user,1970
2023-10-09,en.wikipedia,Parrot,daily,all-access,user,1972
2023-10-10,en.wikipedia,Parrot,daily,all-access,user,2032
2023-10-11,en.wikipedia,Parrot,daily,all-access,user,2074
2023-10-12,en.wikipedia,Parrot,daily,all-access,user,2187
2023-10-13,en.wikipedia,Parrot,daily,all-access,user,2334
2023-10-14,en.wikipedia,Parrot,daily,all-access,user,2182
2023-10-15,en.wikipedia,Parrot,daily,all-access,user,2228
2023-10-16,en.wikipedia,Parrot,daily,all-access,user,2057
2023-10-17,en.wikipedia,Parrot,daily,all-access,user,2257
2023-10-18,en.wikipedia,Parrot,daily,all-access,user,2068
2023-10-19,en.wikipedia,Parrot,daily,all-access,user,2127
2023-10-20,en.wikipedia,Parrot,daily,all-access,user,1866
2023-10-21,en.wikipedia,Parrot,daily,all-access,user,1859
2023-10-22,en.wikipedia,Parrot,daily,all-access,user,1841
2023-10-23,en.wikipedia,Parrot,daily,all-access,user,1964
2023-10-24,en.wikipedia,Parrot,daily,all-access,user,2170
2023-10-25,en.wikipedia,Parrot,daily,all-access,user,2189
2023-10-26,en.wikipedia,Parrot,daily,all-access,user,2237
2023-10-27,en.wikipedia,Parrot,daily,all-access,user,1887
2023-10-28,en.wikipedia,Parrot,daily,all-access,user,1789
2023-10-29,en.wikipedia,Parrot,daily,all-access,user,2063
2023-10-30,en.wikipedia,Parrot,daily,all-access,user,2101
2023-08-26,en.wikipedia,Rabbit,daily,all-access,user,3601
2023-08-27,en.wikipedia,Rabbit,daily,all-access,user,3601
2023-08-28,en.wikipedia,Rabbit,daily,all-access,user,3596
2023-08-29,en.wikipedia,Rabbit,daily,all-access,user,3868
2023-08-30,en.wikipedia,Rabbit,daily,all-access,user,3680
2023-08-31,en.wikipedia,Rabbit,daily,all-access,user,3594
2023-09-01,en.wikipedia,Rabbit,daily,all-access,user,3583
2023-09-02,en.wikipedia,Rabbit,daily,all-access,user,3331
2023-09-03,en.wikipedia,Rabbit,daily,all-access,user,3931
2023-09-04,en.wikipedia,Rabbit,daily,all-access,user,3621
2023-09-05,en.wikipedia,Rabbit,daily,all-access,user,3509
2023-09-06,en.wikipedia,Rabbit,daily,all-access,user,3650
2023-09-07,en.wikipedia,Rabbit,daily,all-access,user,3739
2023-09-08,en.wikipedia,Rabbit,daily,all-access,user,3521
2023-09-09,en.wikipedia,Rabbit,daily,all-access,user,3350
2023-09-10,en.wikipedia,Rabbit,daily,all-access,user,3456
2023-09-11,en.wikipedia,Rabbit,daily,all-access,user,3575
2023-09-12,en.wikipedia,Rabbit,daily,all-access,user,3898
2023-09-13,en.wikipedia,Rabbit,daily,all-access,user,3817
2023-09-14,en.wikipedia,Rabbit,daily,all-access,user,4027
2023-09-15,en.wikipedia,Rabbit,daily,all-access,user,3638
2023-09-16,en.wikipedia,Rabbit,daily,all-access,user,3543
2023-09-17,en.wikipedia,Rabbit,daily,all-access,user,3582
2023-09-18,en.wikipedia,Rabbit,daily,all-access,user,3890
2023-09-19,en.wikipedia,Rabbit,daily,all-access,user,4199
2023-09-20,en.wikipedia,Rabbit,daily,all-access,user,4189
2023-09-21,en.wikipedia,Rabbit,daily,all-access,user,3988
2023-09-22,en.wikipedia,Rabbit,daily,all-access,user,3705
2023-09-23,en.wikipedia,Rabbit,daily,all-access,user,3614
2023-09-24,en.wikipedia,Rabbit,daily,all-access,user,3749
2023-09-25,en.wikipedia,Rabbit,daily,all-access,user,4046
2023-09-26,en.wikipedia,Rabbit,daily,all-access,user,3953
2023-09-27,en.wikipedia,Rabbit,daily,all-access,user,3821
2023-09-28,en.wikipedia,Rabbit,daily,all-access,user,3900
2023-09-29,en.wikipedia,Rabbit,daily,all-access,user,3695
2023-09-30,en.wikipedia,Rabbit,daily,all-access,user,3353
2023-10-01,en.wikipedia,Rabbit,daily,all-access,user,3491
2023-10-02,en.wikipedia,Rabbit,daily,all-access,user,4062
2023-10-03,en.wikipedia,Rabbit,daily,all-access,user,4055
2023-10-04,en.wikipedia,Rabbit,daily,all-access,user,3793
2023-10-05,en.wikipedia,Rabbit,daily,all-access,user,3694
2023-10-06,en.wikipedia,Rabbit,daily,all-access,user,3616
2023-10-07,en.wikipedia,Rabbit,daily,all-access,user,3302
2023-10-08,en.wikipedia,Rabbit,daily,all-access,user,3357
2023-10-09,en.wikipedia,Rabbit,daily,all-access,user,3680
2023-10-10,en.wikipedia,Rabbit,daily,all-access,user,3725
2023-10-11,en.wikipedia,Rabbit,daily,all-access,user,3731
2023-10-12,en.wikipedia,Rabbit,daily,all-access,user,3951
2023-10-13,en.wikipedia,Rabbit,daily,all-access,user,3670
2023-10-14,en.wikipedia,Rabbit,daily,all-access,user,3269
2023-10-15,en.wikipedia,Rabbit,daily,all-access,user,3680
2023-10-16,en.wikipedia,Rabbit,daily,all-access,user,3930
2023-10-17,en.wikipedia,Rabbit,daily,all-access,user,3858
2023-10-18,en.wikipedia,Rabbit,daily,all-access,user,4001
2023-10-19,en.wikipedia,Rabbit,daily,all-access,user,3877
2023-10-20,en.wikipedia,Rabbit,daily,all-access,user,3569
2023-10-21,en.wikipedia,Rabbit,daily,all-access,user,3292
2023-10-22,en.wikipedia,Rabbit,daily,all-access,user,3318
2023-10-23,en.wikipedia,Rabbit,daily,all-access,user,3698
2023-10-24,en.wikipedia,Rabbit,daily,all-access,user,3737
2023-10-25,en.wikipedia,Rabbit,daily,all-access,user,3794
2023-10-26,en.wikipedia,Rabbit,daily,all-access,user,3751
2023-10-27,en.wikipedia,Rabbit,daily,all-access,user,3495
2023-10-28,en.wikipedia,Rabbit,daily,all-access,user,3426
2023-10-29,en.wikipedia,Rabbit,daily,all-access,user,3537
2023-10-30,en.wikipedia,Rabbit,daily,all-access,user,3839
