order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
2698465,1737,12,2,12,7
2834373,201648,48,3,8,2
2406375,7019,18,4,18,14
2813862,169554,1,4,11,
2792402,10142,16,0,17,7
1838419,132297,3,3,9,19
577500,71897,13,4,13,2
3309618,154365,14,4,13,22
2583909,60228,9,4,16,9
2888053,197633,31,0,10,7
968927,51059,12,0,10,6
652439,119049,2,4,11,9
2297430,71392,53,5,16,7
1789651,186830,7,1,18,1
2116825,185129,14,1,16,20
1572207,41790,28,3,18,4
2073923,145144,56,0,8,8
2997626,84946,3,1,11,18
985348,201968,16,4,10,7
1903986,130109,11,5,10,22
2850341,185875,14,6,10,21
1151909,143840,78,2,13,4
2803761,173646,1,6,11,
1071608,26793,6,6,10,8
745320,122862,2,6,16,14
1729255,110052,13,3,14,8
870489,61878,7,2,16,5
1578037,86738,2,1,0,28
1731232,121217,9,4,14,20
3327307,127459,23,6,19,7
695106,162283,27,6,12,13
1383364,87731,21,5,12,3
1731263,82583,1,0,13,
2664106,132335,51,4,6,8
2114397,60082,4,4,15,6
3408126,29580,4,6,12,30
2914409,66111,18,6,1,7
384685,184291,4,4,14,13
2723815,5882,3,1,10,12
2613436,30116,12,3,15,30
1244495,84178,40,4,11,5
1622583,25282,7,0,15,14
1249776,39087,1,6,13,
446024,11189,28,0,10,5
2944797,146995,3,1,4,30
537456,156374,6,1,19,13
3136106,12831,4,1,11,17
2939813,27575,28,4,8,22
466275,43138,17,5,19,7
2203,40211,11,6,21,6
2704982,199039,6,4,8,3
3353727,50789,6,0,14,20
2943015,143416,49,3,15,1
2617885,103744,12,6,15,6
2795188,204870,37,5,16,1
438679,201896,25,1,15,3
1412419,190921,3,1,15,6
2939632,25715,8,5,13,4
2886310,205510,36,0,12,6
90695,125033,5,4,15,13
1260389,140877,8,6,11,7
1521302,201158,7,4,13,13
1275710,137946,13,6,21,12
82133,170232,19,2,12,4
1196961,194126,3,5,8,7
1466072,205777,26,2,20,30
1416744,50130,7,0,18,7
2525213,81797,55,1,7,3
182301,148166,6,1,21,8
388160,64416,11,5,19,30
2792610,100724,29,2,17,20
2220271,177299,19,3,15,1
2799332,83664,9,2,14,27
2634193,77226,8,5,11,4
2019620,91326,51,1,14,3
2905633,93949,3,5,14,20
2010522,26870,35,6,22,11
1866024,43721,20,6,12,14
3026897,46634,16,2,7,8
1704085,118908,16,1,12,15
3281228,157075,8,3,17,9
27555,142743,3,2,8,30
532344,4944,10,1,10,7
59742,132303,1,3,14,
3318909,14169,7,3,2,9
2893735,175464,5,6,11,30
918879,158938,7,1,8,10
1548483,39099,11,4,13,30
3295037,193316,24,2,13,6
2542764,11965,11,0,13,13
1560150,96767,44,6,16,6
867410,139054,23,1,14,9
1188320,57111,21,5,11,15
2968612,201679,6,6,16,7
2706494,11090,1,4,9,
3394639,72397,10,4,15,8
3161613,65794,3,1,16,2
2906652,110826,4,0,15,20
1926675,152061,4,6,15,27
2582755,14776,15,2,10,5
800512,81429,7,5,14,10
3049949,90932,40,5,8,4
3170404,185122,19,0,18,8
1288186,30937,15,0,14,15
1853444,34122,53,5,8,6
1048662,31752,7,3,19,10
921287,158238,5,0,15,7
3088706,110442,93,1,11,7
3318233,134270,12,1,10,7
3402368,112154,8,0,12,4
3136534,141867,2,1,20,27
1070062,60679,8,0,16,14
3262895,192030,15,6,8,6
108877,189034,5,0,16,4
3309713,167092,36,0,10,7
212519,138364,11,4,12,8
3389071,180619,33,0,22,14
2949722,155060,36,0,13,9
1009096,163192,1,1,8,
1547897,161785,1,0,9,
1001746,200868,21,6,0,30
2698171,84837,24,6,9,4
570293,46202,70,2,15,5
154365,92673,26,1,14,20
3389795,164038,6,1,9,12
681597,49934,22,5,14,2
46179,112188,20,4,18,28
834420,191487,21,0,11,10
2502251,202580,11,4,16,5
2919764,136908,2,3,9,8
2630730,178822,2,0,15,21
2769275,74157,38,0,12,8
765223,90721,9,0,15,3
1075662,160195,9,4,9,6
2323288,70326,1,0,10,
528510,13703,20,2,16,3
1135591,51263,3,2,19,4
2544881,140194,44,6,16,2
2614520,185318,57,2,16,2
1060029,186835,99,1,15,1
2012958,202879,5,4,20,9
3227983,120398,14,3,15,23
1955882,110314,30,6,9,3
2221752,125122,1,6,7,
888614,75219,4,6,6,25
108191,86191,20,5,17,9
3279011,160602,2,4,14,11
2047014,78009,7,6,18,21
2600844,117058,3,0,12,8
1616859,16946,18,5,10,16
2131687,98878,12,0,12,9
2406106,117889,3,0,13,21
1365991,125473,1,6,17,
1604478,16933,7,2,16,27
1072229,28599,55,0,14,3
880066,196174,28,4,21,5
2675497,165300,6,2,9,6
173968,95499,14,6,20,27
1448124,49413,29,1,8,4
3289429,169544,3,6,6,30
783800,55665,8,2,20,3
1635892,79525,17,4,16,7
3390960,201623,74,5,17,0
2716244,186549,1,1,9,
1001121,109445,1,0,19,
3005008,112848,12,5,14,7
1193464,203503,15,6,12,1
91349,176454,7,1,9,30
2793392,50873,12,6,13,3
2294698,160546,12,5,9,4
1412200,35367,9,3,17,2
2178998,198077,33,3,9,8
3302575,143140,2,0,13,15
1429634,32833,14,6,17,14
2593254,51700,30,3,15,9
2124366,17692,57,1,11,3
1665570,101825,16,6,16,5
716921,67714,2,0,16,12
169896,180205,37,1,12,7
1721011,103602,17,0,15,7
3265447,185642,8,0,18,5
2016759,188386,15,4,17,8
1410622,25469,1,2,15,
923674,121508,52,0,12,9
2167534,45520,45,1,10,7
1401239,134275,2,2,19,30
2194543,152324,7,0,19,6
3013412,110678,11,3,13,10
864513,35821,51,2,14,6
1543549,18601,23,5,11,4
1381878,139302,1,0,15,
102289,158764,11,3,15,11
1781840,59692,11,2,12,12
1111269,75221,8,5,21,19
196501,204622,67,5,0,5
33660,146415,13,1,8,20
315843,108351,9,1,9,7
391957,175567,15,0,11,12
386756,103642,11,4,9,3
3168095,161809,5,5,20,1
1708804,60665,3,5,11,22
731683,109590,2,1,15,12
961810,152884,1,1,19,
2430225,98420,1,4,20,
261411,140601,4,3,12,14
3036489,112630,11,3,15,16
1609755,177444,4,0,12,6
954868,204805,1,3,12,
1056730,107185,3,3,19,5
3320346,156876,7,6,22,20
564283,62959,9,3,15,14
2103300,7927,17,2,15,7
148549,21192,4,4,18,12
1582967,25911,28,6,13,30
1109686,153245,5,3,17,30
2467065,56056,8,3,18,5
1592189,106996,5,4,21,20
1535133,62515,8,5,9,2
2142924,126665,9,5,17,18
1675980,99341,8,3,8,10
2230775,73126,24,4,10,3
1844002,62999,73,4,17,8
555651,116967,12,1,10,13
3046106,128664,2,4,10,9
1751848,48890,16,3,14,7
1882529,183141,7,2,11,9
3123329,49329,2,4,8,16
3224973,27233,78,3,12,13
1818162,192224,5,6,11,13
1949001,18318,34,4,10,30
2615560,148751,17,6,21,14
2173442,28983,7,6,11,20
340263,162142,16,6,11,9
1288632,137602,11,5,17,30
1334514,46022,10,4,10,11
1512579,143974,7,3,9,13
3155821,110307,1,6,21,
2763304,167608,34,0,15,3
3392353,153959,40,1,13,6
1632732,186416,31,0,11,4
242350,104191,19,0,11,6
2387799,11129,5,0,9,8
2130282,28367,3,5,16,5
3055599,150765,3,0,7,30
499913,81321,22,2,17,8
1428675,29908,27,1,15,9
2286172,2387,60,4,9,2
1789871,7281,2,1,2,0
1532347,140672,13,5,12,5
1412362,89804,3,0,15,27
2401810,112945,11,6,15,12
561994,180446,1,1,13,
3412540,138357,31,4,13,3
1133415,9115,22,3,13,7
1445360,28400,24,0,13,5
259671,121678,3,5,18,5
2595212,178942,4,1,12,18
1990970,106479,13,4,14,10
1637441,43241,4,3,10,2
1367288,28155,4,4,16,8
600940,126458,14,1,16,30
1011095,49350,3,0,17,13
862927,174143,1,0,16,
900981,53924,41,5,11,2
1908114,62580,7,1,18,8
3283944,125982,17,2,11,21
2855425,184289,29,0,13,18
119146,151071,8,3,17,6
3009664,71380,7,1,12,7
1729169,53802,12,4,12,19
2283241,100011,8,3,15,2
678761,171756,2,3,9,24
578959,136657,3,5,9,12
3072873,21819,79,0,12,2
3247384,98594,9,2,19,5
795368,172451,19,2,8,25
610431,164090,28,0,16,7
2017654,164622,12,5,10,4
3184489,52123,45,5,8,9
2998330,109645,26,4,12,13
2900548,38835,6,1,15,17
2053950,54454,18,3,13,4
817226,18055,7,4,10,2
2500680,125410,2,2,15,23
2934256,127140,29,1,16,7
3190652,181580,1,0,19,
2521695,38371,14,3,17,18
322430,118836,3,6,18,30
485004,44188,38,0,18,0
2313424,140869,6,5,16,13
2786601,29391,6,4,13,3
1818031,77861,9,5,12,6
1878981,32707,4,5,2,1
2577708,202247,1,1,17,
970047,138365,61,0,13,2
3254776,67528,3,5,10,4
1003034,197889,17,0,0,3
2611389,1914,2,6,18,1
1481097,29024,13,3,8,30
1563020,90807,16,5,19,1
3354375,199091,59,2,10,7
1282200,198085,37,5,21,4
1750117,174819,23,1,18,9
725335,91165,20,1,20,2
2656372,67270,41,1,18,4
169747,69809,11,2,7,14
883128,135042,11,5,15,6
1791217,102962,5,2,13,3
3020259,163179,5,0,12,7
3008268,165600,3,5,11,30
3295390,142870,9,0,15,21
1286054,68254,56,1,16,5
1351246,68575,24,5,22,7
267569,29304,3,5,19,12
2217541,203445,7,2,15,8
3118416,100947,29,0,12,7
980540,197549,37,5,10,2
1265487,89192,2,1,18,30
2968351,189800,5,0,19,10
183965,176668,2,3,9,5
631184,111072,15,6,13,10
280315,100626,30,4,15,6
2590811,198228,44,6,14,1
1150819,177262,15,6,8,6
362469,23806,8,0,18,14
1402240,140824,6,0,19,16
1637669,98343,38,1,10,5
2521211,85824,58,4,15,3
529425,75778,1,6,13,
2221051,122020,2,5,11,30
2141107,141636,34,6,7,30
2293540,204942,18,0,11,4
1609057,128344,2,4,0,12
1417795,106967,12,1,17,5
1876970,80220,26,6,23,30
2120017,149473,11,0,9,7
1047813,141137,19,3,15,4
256795,42418,6,6,13,30
720420,78380,25,0,12,7
2537075,148306,26,6,12,15
3227469,37339,9,4,13,6
1099060,129102,6,2,16,2
724574,27654,4,1,13,9
429900,167574,9,0,7,10
1360782,50761,18,2,21,5
1178442,168011,21,5,11,5
605031,97891,15,1,11,10
485943,114322,1,4,17,
397519,57224,2,5,13,30
593783,84567,6,5,13,7
2859163,160499,21,1,10,7
2125158,112057,37,1,16,5
859086,125481,14,2,14,7
1256472,132372,41,0,9,2
1506988,100851,13,5,14,21
3170972,114695,38,4,15,2
2431974,176076,93,1,23,1
1665184,3289,6,5,15,15
1158604,93921,16,4,11,30
201300,35874,3,1,13,30
275527,28969,2,6,21,10
102634,50790,16,3,11,7
3245975,35475,39,5,19,5
2405224,113016,15,5,20,2
1168042,95642,13,0,17,12
2517926,91925,8,6,14,12
2634872,192444,34,1,9,6
492616,176158,44,5,12,28
2542187,128388,32,4,20,0
1282872,138105,1,1,9,
1500260,176974,18,0,14,6
1931588,56717,19,4,13,14
2155196,50369,4,0,13,14
3154455,89102,4,5,12,4
263910,116823,3,0,9,30
212252,130262,12,3,19,16
551590,12384,1,0,13,
2454556,183036,97,4,20,0
2189714,58146,41,0,11,9
2548828,91403,27,1,7,2
3205076,170647,9,1,13,14
352322,135451,37,2,10,18
3212588,31782,1,5,10,
426765,101791,16,6,14,16
2108723,184044,8,0,16,6
426443,151445,17,0,13,7
2535056,103126,16,6,10,11
275937,166410,7,2,15,14
1206265,73007,2,5,13,3
1034862,74133,2,2,14,7
270060,36464,11,5,21,3
2959474,177951,3,0,11,6
3143915,114247,6,2,14,0
1312959,174389,30,5,7,6
3320171,88834,7,0,12,7
3067040,145770,2,0,13,22
1224462,173924,30,4,12,5
2613581,60341,4,0,23,1
3285913,53722,17,3,14,5
1289268,150367,7,2,11,9
2271229,167710,1,5,11,
1874922,55360,29,1,18,5
2546643,91880,68,4,10,3
1912345,190416,32,6,12,1
1720714,93055,8,2,15,13
2219029,150938,6,1,13,4
3379952,138126,81,2,19,0
1190247,57399,11,5,10,8
1473720,11694,4,4,15,30
2341308,166521,21,6,21,13
954598,2125,4,1,10,28
256635,175167,50,2,15,3
2591082,148787,43,4,16,3
269716,139420,6,3,16,30
369329,65798,18,5,21,5
3108534,72387,10,6,12,28
3042779,170687,4,4,16,9
1719022,134848,18,5,11,9
3248650,72316,4,3,9,9
2878758,22299,55,4,15,2
2509988,166686,42,6,14,6
3377013,4977,11,6,8,22
1153996,64761,43,0,11,6
1980879,178287,9,1,10,7
1999366,159851,2,2,8,30
2453267,38551,53,2,6,4
92701,154147,5,1,6,21
1421512,188347,1,3,8,
244846,91313,8,6,14,11
2308774,135974,11,1,14,9
1265218,154702,2,4,17,17
74286,62866,62,2,19,3
2518975,139660,99,6,12,9
934554,96775,25,5,9,5
57828,66995,8,4,8,12
2623823,186783,10,0,11,10
1226791,39556,11,0,14,3
472772,82277,20,1,14,7
2806916,32339,18,1,10,5
281409,117493,10,4,12,7
558390,69151,17,4,13,11
3296144,73526,2,6,16,5
514848,423,1,1,10,
2843135,72516,13,6,17,5
2397259,133994,10,0,17,16
2603745,25175,44,1,16,6
1149258,109263,59,0,9,4
2278537,31292,14,0,16,3
2998916,204438,5,6,15,9
1402384,65693,11,4,13,30
253680,96608,7,2,20,30
877298,158703,1,1,16,
12303,68542,8,6,8,6
1591996,74409,9,3,16,7
1016979,44331,27,6,13,11
874378,150312,18,5,11,12
2506896,172652,32,0,21,7
1496335,155478,8,6,15,30
1537894,11290,23,5,14,4
2963685,63574,6,3,13,0
2489023,150466,27,3,17,6
2719300,132673,18,0,17,29
1313612,150002,9,1,14,20
1459024,188910,14,1,10,23
2094147,178778,12,5,15,14
2762914,88425,2,5,19,25
1073540,87350,15,1,11,6
1565038,23042,3,5,7,5
924970,121151,12,2,16,19
315592,184629,11,0,19,9
135449,115314,68,3,9,2
1390303,111466,81,2,9,2
1908295,200634,9,6,17,6
39210,142659,9,5,10,4
2318714,159904,2,2,10,7
2626589,121984,13,4,9,3
786056,71121,2,5,13,8
2393202,74099,30,4,13,1
750497,41551,9,1,12,22
1036128,99457,20,6,15,16
2057393,192609,10,6,14,7
1267958,140668,23,2,8,2
848171,40943,28,0,23,3
2747263,151378,38,0,20,6
984260,146895,14,3,16,5
1632438,113299,8,1,9,4
251422,165367,7,0,8,8
2795141,2764,24,5,11,6
2786961,53162,18,4,15,8
3371599,77160,42,5,18,7
1580517,50495,3,2,10,15
2083033,61173,2,6,15,5
1076640,110727,12,5,6,4
611830,120547,48,3,12,5
242304,42622,36,3,8,8
3081751,45195,34,3,7,10
1145571,181143,9,3,17,30
2863320,94926,16,4,17,30
1092312,135921,28,6,22,6
1528447,198896,50,1,10,7
3339908,32495,8,1,16,3
2487588,89094,40,0,7,13
245540,33998,7,1,16,15
743478,34290,5,6,10,7
1447566,108658,4,4,17,9
1620245,146573,9,6,15,7
1685439,100420,16,0,16,7
768595,204658,3,1,9,28
82865,42182,53,5,14,2
1423758,90198,27,3,12,25
2336955,89767,8,2,15,21
350840,97916,6,0,17,14
2332184,108690,47,2,11,0
2207791,35702,14,4,14,4
2910846,184021,60,4,0,4
1166119,25263,44,2,13,3
2364495,128316,14,1,16,6
2297683,166813,5,2,17,30
2482861,49001,20,0,10,15
1008024,151414,6,2,9,5
2460220,149611,50,4,18,3
1704955,104680,15,5,9,8
631660,34050,17,4,14,0
953260,29813,13,3,9,13
67737,7200,9,1,12,19
2940583,197508,5,6,8,7
160448,68072,35,4,10,4
3094437,100169,3,5,6,30
3166798,147480,85,0,18,4
3141667,151282,13,2,8,8
802332,112915,6,5,16,7
936877,135245,22,6,9,21
58363,174931,58,2,12,6
3336882,42201,53,1,10,10
3326739,48008,1,0,10,
553915,165920,1,0,14,
2435331,106376,13,5,16,6
1072227,9751,4,4,20,17
1057301,170808,6,5,15,3
2378307,113835,2,1,17,5
688104,168747,7,0,13,30
1897343,9158,98,6,9,4
870551,12964,2,3,9,30
1750809,49664,9,6,12,30
3414787,99817,6,0,19,4
610461,150734,22,2,15,17
903936,180583,49,2,12,6
304038,137252,6,0,12,19
2989862,65761,19,2,19,7
1346273,1566,11,1,9,7
502722,175696,1,1,15,
1373380,51141,60,3,7,2
1912111,68067,5,4,14,7
1354422,124512,14,0,19,0
2350711,142073,58,1,7,3
565303,157414,3,5,19,30
1190656,115016,11,3,1,20
885520,97875,2,1,12,7
1532597,13708,5,0,13,30
1686049,28756,2,5,23,11
1812471,12741,13,6,17,30
848838,166662,3,0,10,6
3367990,74188,19,3,21,6
2833697,143098,7,6,15,6
1448713,64972,7,0,18,8
674152,104855,75,6,5,3
936010,128359,9,0,17,7
477973,35426,6,0,16,19
3206573,137320,1,3,15,
2112134,197328,18,2,14,4
1221552,62725,6,4,14,30
2289633,203229,19,6,12,7
1162516,51831,3,2,10,30
1964624,50805,21,0,12,4
1427692,18037,6,5,18,5
3265044,5562,38,1,10,6
2148083,33631,22,2,18,1
1363144,59880,10,4,14,4
46150,121340,13,3,13,24
476380,100812,2,5,14,16
1356854,134599,13,6,17,0
197028,201642,20,1,16,3
3296422,134482,42,5,16,1
2540727,195189,45,4,17,7
2656092,6244,11,0,16,12
159148,171207,40,2,19,23
2867946,13473,2,3,17,21
200565,19245,1,0,11,
3298040,90162,3,0,0,10
1752529,114807,12,1,9,7
535329,171256,19,5,12,7
216209,60324,33,2,12,8
1283174,7184,5,0,12,24
3142372,18518,10,4,16,3
2758796,81279,8,2,13,15
3338144,205037,4,6,16,26
2247765,39599,9,1,17,7
2654850,10521,34,5,23,7
2207971,121140,36,5,12,4
1329176,143697,26,1,19,25
3094207,68631,8,1,16,30
1165952,194836,2,3,17,22
161622,146456,6,6,10,6
1217244,85602,30,2,15,1
756634,96875,2,5,16,16
1848115,155329,11,0,8,30
2833857,204506,28,1,10,5
3346760,53704,2,1,11,26
3182715,38886,35,3,15,5
1111448,106069,1,4,22,
2040972,20104,3,0,15,30
2299682,55937,7,2,10,12
355179,12930,4,0,10,8
1420937,67072,2,3,12,6
2733320,102629,12,5,9,2
392703,140408,6,3,16,8
1481278,9409,5,0,13,10
2822601,60821,11,6,15,7
1856722,123389,30,1,9,7
2537903,128663,7,1,11,6
692811,47213,4,6,13,21
2478314,56221,16,0,12,9
268515,98341,9,4,8,8
98235,75322,24,6,11,13
2154021,166877,3,6,21,13
1092235,151595,6,3,13,9
1236200,172662,8,6,11,11
639041,131082,28,5,15,9
62805,120923,30,2,8,5
124405,197011,5,5,13,3
252470,199002,3,0,12,7
858893,157744,2,3,16,14
2815484,107901,49,0,10,3
1501437,95570,10,0,14,3
3001793,92274,3,3,22,16
1517680,69231,20,1,13,24
2690754,110851,66,6,19,5
201488,160783,13,3,13,3
1171266,2522,1,6,19,
908502,185220,24,1,11,7
