order_id,product_id,add_to_cart_order,reordered
3272540,11520,2,1
3285913,11520,2,1
3363907,11520,3,1
3368173,11520,8,1
3373757,11520,2,0
90695,46654,11,0
148549,46654,2,1
374795,46654,8,1
443192,46654,2,1
693690,46654,17,1
847351,46654,10,1
870489,46654,13,1
1073312,46654,7,1
1181772,46654,10,0
1249776,46654,3,0
1324081,46654,2,1
1358492,46654,14,0
1834328,46654,4,1
1847100,46654,11,0
2047014,46654,24,1
2124415,46654,4,1
2187885,46654,4,1
2416038,46654,3,0
2547726,46654,18,1
2643433,46654,9,1
2757267,46654,3,1
2769275,46654,4,1
2932315,46654,2,0
2952823,46654,2,0
2968612,46654,8,0
3041643,46654,11,0
3230438,46654,2,1
3248289,46654,20,1
411299,17902,1,1
793707,17902,9,0
1447566,17902,2,1
1501688,17902,2,1
1537894,17902,1,1
1704408,17902,10,0
3133601,17902,2,0
3187571,17902,1,1
3418430,17902,4,0
389072,36550,1,1
433587,36550,6,1
956576,36550,9,1
986350,36550,3,1
1224175,36550,5,0
1421353,36550,8,0
1502699,36550,3,1
1613579,36550,2,0
1716033,36550,1,1
2006958,36550,16,0
2053950,36550,5,1
2097527,36550,4,1
2159691,36550,2,0
2573998,36550,2,0
2651439,36550,4,0
2671822,36550,10,1
2781425,36550,6,1
2787548,36550,10,1
2864438,36550,8,1
3232538,36550,9,1
3237602,36550,1,1
3379952,36550,17,1
3386657,36550,18,1
176766,11712,1,1
318306,11712,7,1
361580,11712,2,1
642838,11712,19,1
712970,11712,4,1
1256472,11712,6,1
1273407,11712,6,0
1274291,11712,3,1
1413906,11712,2,1
1644409,11712,2,0
1800931,11712,3,1
1911689,11712,7,1
2039963,11712,14,1
2151808,11712,1,1
2266886,11712,3,0
2451154,11712,9,0
3242894,11712,10,0
143922,5782,16,0
473434,5782,3,1
851423,5782,4,1
999235,5782,7,1
2413469,5782,1,0
2995108,5782,4,1
3171631,5782,12,0
3251168,5782,6,1
3278825,5782,7,0
156410,40332,10,0
765223,40332,5,1
780837,40332,5,1
783800,40332,1,0
985299,40332,3,1
1016979,40332,4,1
1057301,40332,29,0
1423903,40332,2,1
1752249,40332,5,1
1878542,40332,4,1
2247765,40332,9,1
2275590,40332,12,1
2319823,40332,9,0
2441766,40332,12,0
2721191,40332,6,0
2822008,40332,2,1
2888053,40332,10,1
3317255,40332,1,1
3380606,40332,10,0
12303,18465,2,1
45549,18465,5,1
55528,18465,4,1
113451,18465,24,1
188680,18465,10,0
201419,18465,6,1
282532,18465,1,0
285636,18465,4,0
287252,18465,2,1
309132,18465,1,1
352879,18465,4,1
421405,18465,1,1
421582,18465,12,1
431448,18465,2,1
496699,18465,6,1
550792,18465,17,1
679701,18465,12,1
742815,18465,7,1
788778,18465,1,0
798303,18465,5,0
950009,18465,3,1
978530,18465,2,1
1024830,18465,15,1
1051793,18465,5,1
1063571,18465,6,1
1135591,18465,4,0
1158713,18465,2,1
1169066,18465,18,0
1213155,18465,10,1
1216288,18465,4,1
1227402,18465,7,1
1244495,18465,4,1
1313584,18465,5,1
1346764,18465,3,1
1421190,18465,1,1
1491192,18465,4,0
1504016,18465,1,0
1663611,18465,13,1
1812140,18465,4,1
1864947,18465,11,1
1883678,18465,3,1
1931425,18465,2,0
1939675,18465,14,1
2115598,18465,9,1
2139925,18465,6,1
2148083,18465,4,1
2153224,18465,10,1
2187782,18465,2,1
2238423,18465,4,1
2384368,18465,3,0
2409694,18465,11,1
2440693,18465,6,1
2498464,18465,5,1
2512380,18465,2,1
2515112,18465,5,1
2576075,18465,8,1
2709639,18465,1,1
2747263,18465,7,1
2762018,18465,2,1
2953799,18465,10,1
2978832,18465,3,0
3011475,18465,8,1
3062114,18465,4,1
3075358,18465,18,0
3108519,18465,10,1
3124895,18465,5,0
3136434,18465,7,1
3258477,18465,6,1
2255,32655,10,0
315843,32655,10,0
449182,32655,7,1
502722,32655,9,0
525872,32655,2,1
541402,32655,11,1
711354,32655,4,0
845776,32655,2,0
874378,32655,8,1
977841,32655,4,1
1022664,32655,4,1
1092278,32655,17,0
1146245,32655,6,1
1153254,32655,4,1
1292303,32655,20,1
1318468,32655,3,1
1343276,32655,3,1
1398076,32655,9,1
1617647,32655,3,1
1697602,32655,12,1
1743373,32655,1,1
1796228,32655,1,1
1849558,32655,2,1
1894616,32655,7,1
1901943,32655,7,1
1920251,32655,15,1
2164874,32655,5,0
2173442,32655,3,1
2343714,32655,10,0
2379054,32655,9,1
2405252,32655,1,1
2492462,32655,6,1
2537075,32655,2,0
2944797,32655,1,0
3132425,32655,6,1
3293351,32655,9,1
3323805,32655,2,1
3377370,32655,6,0
3379467,32655,4,1
64476,35921,7,1
257104,35921,12,1
312489,35921,4,1
472016,35921,4,1
577405,35921,1,0
1376296,35921,1,0
1415760,35921,14,1
1504852,35921,4,1
2081963,35921,9,1
2370792,35921,2,0
2395508,35921,21,1
2609104,35921,2,1
2655118,35921,1,0
2992440,35921,11,1
3295390,35921,1,0
3389795,35921,2,0
352905,6341,3,0
1268080,6341,3,1
1531107,6341,2,1
1911117,6341,12,1
2786961,6341,3,1
13091,23543,15,1
86676,23543,1,0
283113,23543,1,1
934554,23543,3,1
988160,23543,9,0
1004138,23543,2,1
1363144,23543,13,1
1474355,23543,4,0
1479214,23543,9,1
1521302,23543,2,1
1715398,23543,1,1
1796874,23543,34,0
2204407,23543,11,1
2346171,23543,13,1
2464979,23543,8,1
2517926,23543,28,0
2574634,23543,10,1
2808464,23543,3,0
2836807,23543,4,1
2918654,23543,1,1
3279011,23543,5,0
3325385,23543,5,1
3377013,23543,2,1
59130,44799,2,0
347802,44799,15,1
494593,44799,4,1
864513,44799,7,1
1070047,44799,7,1
1113565,44799,4,1
1290069,44799,1,1
1626238,44799,3,1
2058334,44799,1,1
2350478,44799,9,0
2517417,44799,1,1
2645406,44799,6,1
2666015,44799,1,1
3212588,44799,2,0
3346425,44799,5,1
89097,26384,7,0
391957,26384,7,1
533165,26384,11,1
712335,26384,10,0
723013,26384,1,0
1359770,26384,4,1
1504793,26384,10,1
1644409,26384,7,0
1913566,26384,3,0
1928194,26384,9,1
2125677,26384,5,1
2190866,26384,8,1
2213059,26384,1,1
2221752,26384,13,0
2518197,26384,11,1
2549296,26384,2,1
2791422,26384,6,0
2942003,26384,4,1
3010142,26384,12,0
3056562,26384,3,1
3189058,26384,6,1
3396025,26384,18,1
82865,30233,23,1
136867,30233,5,1
143310,30233,4,1
150567,30233,3,1
194896,30233,1,1
209352,30233,15,1
306199,30233,2,0
497124,30233,1,1
641691,30233,2,1
654157,30233,2,1
762330,30233,2,0
820737,30233,2,1
826907,30233,13,0
1053768,30233,3,1
1070062,30233,6,1
1155217,30233,3,1
1156686,30233,14,1
1158156,30233,5,1
1186459,30233,3,1
1195720,30233,6,1
1259055,30233,1,1
1611905,30233,1,0
1658659,30233,8,0
1733703,30233,20,0
1856980,30233,2,0
2032059,30233,3,1
2054148,30233,2,1
2073923,30233,2,0
2106355,30233,3,0
2281065,30233,7,1
2285559,30233,7,0
2298847,30233,3,1
2464189,30233,9,1
2603719,30233,3,1
2658929,30233,2,0
2659645,30233,4,1
2824702,30233,4,1
2848426,30233,1,1
2934256,30233,3,1
3227469,30233,1,1
3404285,30233,2,1
217928,27307,4,1
922709,27307,19,1
1337729,27307,8,1
1464358,27307,3,1
1641029,27307,12,1
1773253,27307,7,1
2070627,27307,16,0
2959474,27307,3,0
3138826,27307,3,0
39210,14999,3,0
93539,14999,1,1
234302,14999,4,0
532233,14999,1,0
553925,14999,6,0
878316,14999,6,1
1139448,14999,1,1
1464617,14999,6,0
1838440,14999,9,1
1911202,14999,3,1
3270869,14999,2,1
87823,41148,2,1
1324081,41148,3,1
2042795,41148,8,0
2571664,41148,6,1
2737436,41148,2,1
3278825,41148,1,0
593202,30385,8,0
1421512,30385,4,0
1734268,30385,1,1
2852888,30385,8,0
3042654,30385,14,1
134180,14218,1,0
510018,14218,1,0
521908,14218,5,1
816085,14218,1,1
848838,14218,3,0
906692,14218,1,1
1416744,14218,12,0
1571584,14218,6,1
1603497,14218,6,1
1999758,14218,5,1
2626589,14218,7,1
3093078,14218,12,0
3309713,14218,1,1
152077,16083,4,1
338028,16083,2,1
384837,16083,4,1
392703,16083,1,1
507421,16083,5,1
630290,16083,6,1
796437,16083,2,1
902848,16083,3,1
1055959,16083,11,1
1382724,16083,4,1
1430299,16083,11,1
1964624,16083,8,1
2082100,16083,17,0
2296064,16083,3,1
2297211,16083,3,0
2375944,16083,7,1
2411576,16083,1,1
2451601,16083,3,1
2581765,16083,15,1
2730158,16083,6,0
2893735,16083,15,0
2972731,16083,4,1
2980967,16083,9,1
3009664,16083,9,1
3107026,16083,8,0
3270052,16083,18,1
3306102,16083,11,1
790898,46620,4,0
20085,28851,5,0
102289,28851,4,1
1258220,28851,6,1
1566870,28851,5,1
1795180,28851,2,1
1823968,28851,6,1
1915275,28851,1,1
2116825,28851,10,1
3126135,28851,1,1
3283944,28851,5,0
259378,34668,6,1
627183,34668,1,0
1153996,34668,2,1
1288186,34668,11,1
1704085,34668,10,1
1886817,34668,4,0
1965228,34668,11,1
2464817,34668,4,1
3205076,34668,1,1
3321623,34668,3,1
95826,2210,3,1
299576,2210,4,1
496257,2210,4,0
565745,2210,1,1
713893,2210,9,1
1659812,2210,4,0
1750180,2210,4,0
3061340,2210,1,0
3137865,2210,4,1
20140,1890,3,1
23131,1890,3,1
441607,1890,3,1
515914,1890,1,0
1665666,1890,2,0
593406,16291,5,1
1438750,16291,1,1
1813791,16291,7,1
2895000,16291,2,1
3175041,16291,2,1
3191963,16291,7,0
410612,27662,11,1
625157,27662,6,0
1366421,27662,7,0
2322140,27662,2,1
3082434,27662,4,1
1290411,30024,5,1
1703112,30024,10,0
682441,5115,1,1
1396362,5115,1,0
1668676,5115,1,1
1742551,5115,2,1
2850174,5115,2,1
3177581,5115,8,1
1149258,12935,2,1
1256098,12935,12,1
1668104,12935,4,1
2548393,12935,9,1
2635377,12935,4,1
2702198,12935,17,1
2897282,12935,6,0
3060706,12935,8,1
3298187,12935,5,0
711795,5535,4,1
1564499,5535,5,1
2559877,5535,2,1
591631,16168,23,0
597152,16168,6,1
802694,16168,6,0
979648,16168,12,0
1564051,16168,11,1
1934204,16168,1,1
2020540,16168,9,0
2640881,16168,1,1
2756044,16168,3,1
700886,35992,31,1
808527,35992,4,0
862927,35992,8,0
1203374,35992,5,1
2159691,35992,1,0
2609837,35992,3,1
3009115,35992,17,0
869210,34234,2,1
1607673,34234,5,1
1796111,34234,5,1
1905441,34234,5,1
2094147,34234,4,1
109258,42016,9,0
908421,42016,1,0
1251451,42016,5,1
2967606,42016,1,1
58363,6774,10,1
156582,6774,26,0
837202,6774,7,0
1180954,6774,1,1
2020602,6774,1,1
2128890,6774,3,1
2906652,6774,4,1
1665666,14874,1,0
1696927,14874,1,1
1847416,14874,2,1
1266840,29500,7,1
924484,33623,1,0
3374856,33623,7,0
357382,5262,20,1
1013357,5262,4,0
1510170,5262,3,1
2583909,5262,6,1
473710,13949,6,1
1062572,18534,19,1
1252459,18534,2,1
1403928,32684,1,1
2762805,32684,5,0
2932120,32684,7,1
3226058,32684,21,1
3405638,32684,1,1
1043746,26900,2,0
1117172,26900,4,0
2925264,26900,1,1
201300,41597,2,1
1651708,41597,8,1
270060,36186,2,1
485004,36186,7,1
1117981,36186,10,1
1376896,36186,6,1
2674770,36186,8,1
3089896,36186,1,0
288825,44624,4,1
2425887,44624,8,0
2592974,46059,5,0
3229491,15273,10,0
3385554,15273,11,1
1548566,20161,30,1
2067495,20161,3,1
2429538,20161,2,1
666092,43209,3,1
712661,43209,2,1
787607,43209,2,1
1228626,43209,1,1
1613464,43209,3,1
2323288,43209,4,0
2850341,43209,3,1
3356174,43209,7,0
768061,13609,6,1
1701776,13609,5,1
1092587,43435,2,0
469234,1541,12,1
738939,49324,12,1
240104,44177,5,1
954868,44177,11,0
274729,42992,12,1
548479,42992,5,1
860231,49335,7,1
2077913,48890,1,1
2059939,29176,2,0
3338144,29176,2,0
2414588,15081,4,1
1106732,32059,3,1
112026,13237,5,0
365907,13237,6,1
613793,13237,15,0
1905489,13237,14,1
2533164,13237,1,1
1088945,5545,4,1
1560150,20247,3,1
2448322,20247,6,1
2368484,15025,10,1
2349725,2108,5,1
1010626,8024,4,1
1754127,25487,4,1
43863,33754,2,1
102375,33754,6,1
152077,33754,2,1
288823,33754,2,1
374795,33754,9,1
577405,33754,10,0
673429,33754,2,0
683941,33754,11,1
739694,33754,4,1
781039,33754,13,1
922184,33754,1,1
929790,33754,7,1
956560,33754,6,0
963933,33754,15,0
1082592,33754,5,1
1084592,33754,9,1
1153254,33754,1,0
1416744,33754,23,0
1753783,33754,4,1
1781840,33754,9,1
1882212,33754,6,1
1970891,33754,3,1
2078763,33754,30,0
2178998,33754,11,1
2295233,33754,5,1
2373047,33754,24,1
2425071,33754,6,1
2504989,33754,11,1
2534611,33754,2,1
2574104,33754,5,1
2647688,33754,7,0
2704982,33754,2,1
2743269,33754,1,1
2852888,33754,4,0
2899775,33754,2,1
3128266,33754,12,1
3167214,33754,12,1
3198360,33754,4,1
3275363,33754,4,0
3386657,33754,26,1
1912765,2014,10,1
3367301,2014,2,0
46262,39475,2,1
46534,39475,14,1
114526,39475,1,1
155231,39475,4,1
180800,39475,4,1
262794,39475,4,1
349997,39475,4,0
558786,39475,4,1
638290,39475,3,1
658538,39475,1,1
693690,39475,10,1
874378,39475,5,1
969595,39475,4,1
1059289,39475,2,1
1254278,39475,6,1
1373380,39475,3,1
1443422,39475,12,1
1502699,39475,5,1
1505660,39475,2,1
1705711,39475,5,1
1729169,39475,25,0
1851920,39475,15,1
2020602,39475,4,1
2072258,39475,6,0
2132162,39475,10,1
2141107,39475,25,1
2221752,39475,11,0
2367611,39475,3,1
2465103,39475,14,0
2504989,39475,13,1
2676112,39475,18,0
2743219,39475,13,1
2918167,39475,5,1
2975776,39475,4,1
2991550,39475,13,0
3050368,39475,3,1
3092464,39475,4,0
3107026,39475,9,1
3124895,39475,1,0
3130848,39475,9,0
3171920,39475,16,1
3230438,39475,14,1
3256282,39475,10,0
3296144,39475,26,1
3330399,39475,9,0
3353332,39475,2,1
3356174,39475,3,1
146235,5112,7,1
469234,5112,8,1
2179844,5112,2,0
253325,30442,1,1
472772,30442,2,1
541402,30442,7,0
977841,30442,2,0
1048559,30442,13,1
1415760,30442,16,1
1464358,30442,8,1
1742756,30442,6,1
2401749,30442,3,1
2554033,30442,3,1
2775288,30442,4,1
2822601,30442,1,1
3192878,30442,4,0
164766,38544,13,1
611557,38544,9,1
996366,38544,3,1
1267430,38544,6,1
2544881,38544,2,1
2617885,38544,15,0
2682028,38544,3,1
3062710,38544,8,1
3175573,38544,7,1
1165597,34519,8,1
2833697,34519,7,1
424655,11983,4,1
1165597,11983,12,1
1605108,11983,8,0
2421719,11983,8,1
2579972,11983,8,0
383022,22298,9,1
1141326,22298,12,1
1266530,22298,23,0
1573483,22298,2,1
2201662,22298,1,0
2347823,22298,7,1
2388908,22298,2,1
2464189,22298,18,1
2766951,22298,7,1
3069522,22298,2,1
46179,17600,1,1
92632,17600,3,1
450478,17600,19,0
683941,17600,14,1
1062572,17600,18,0
1084428,17600,5,1
1402529,17600,8,1
1440734,17600,3,0
1581419,17600,7,0
1731232,17600,12,1
1912680,17600,5,1
1930720,17600,28,1
2081802,17600,8,1
2134530,17600,5,1
2218667,17600,1,1
2241909,17600,8,1
2395508,17600,26,1
2446700,17600,4,0
2574634,17600,2,1
2802373,17600,5,1
2995616,17600,4,1
3014823,17600,4,1
3026527,17600,2,0
3063481,17600,6,0
3248289,17600,5,1
3295820,17600,6,1
3390960,17600,1,1
95386,34993,4,1
382687,34993,17,1
1115500,34993,3,1
1135591,34993,7,0
2164463,34993,11,1
2211382,34993,8,1
2416160,34993,7,1
2619312,34993,4,1
3141890,34993,20,0
599470,17183,18,0
1135591,17183,5,1
1167992,17183,19,1
1834328,17183,1,0
2295304,17183,18,1
2315307,17183,6,0
2432363,17183,14,1
2557277,17183,5,1
3141890,17183,25,0
284522,17872,4,0
469234,17872,11,1
496257,17872,6,0
618569,17872,1,1
1114372,17872,9,1
1268080,17872,15,1
1286234,17872,4,1
1895414,17872,11,1
1938379,17872,3,0
2641330,17872,2,1
3132425,17872,3,1
3157219,17872,6,1
3358242,17872,8,1
12890,9934,7,1
209352,9934,12,1
209791,9934,4,1
1156686,9934,1,1
1729255,9934,10,1
1867120,9934,5,1
2671822,9934,8,0
3042654,9934,9,1
757365,17207,2,1
1222212,17207,1,0
1287237,17207,2,1
1408798,17207,9,1
1552676,17207,1,1
3415972,17207,1,1
212519,38928,1,1
356153,38928,2,1
514848,38928,1,0
571505,38928,12,1
590532,38928,4,0
605031,38928,3,1
1098305,38928,5,0
1109879,38928,1,1
1206061,38928,2,1
1669213,38928,2,1
2010477,38928,1,0
2161488,38928,8,1
2286172,38928,2,1
2448536,38928,1,0
2687389,38928,6,1
3160631,38928,8,1
3332023,38928,2,1
3336704,38928,9,0
46262,11422,6,1
112338,11422,1,0
240924,11422,9,1
259378,11422,5,1
370991,11422,8,1
506094,11422,12,0
751593,11422,3,1
975630,11422,2,1
1022664,11422,2,1
1112955,11422,5,0
1113757,11422,10,0
1398076,11422,6,1
1485969,11422,15,1
1605635,11422,9,1
1863834,11422,5,1
2070627,11422,13,0
2245285,11422,4,1
2369585,11422,8,1
2409694,11422,14,1
2417749,11422,5,1
2435331,11422,3,1
2642057,11422,12,1
2743269,11422,2,1
2939877,11422,6,1
3083597,11422,2,0
3155821,11422,2,0
74286,44008,13,1
107241,44008,2,1
193591,44008,8,0
322907,44008,1,1
334668,44008,1,0
833858,44008,4,1
971902,44008,10,1
1145571,44008,4,1
1416744,44008,24,0
2059266,44008,2,1
2275398,44008,1,1
2335673,44008,16,1
2843135,44008,5,1
2931658,44008,1,1
2953799,44008,9,1
2978581,44008,3,1
2981148,44008,8,1
3121823,44008,1,1
3248650,44008,1,0
3298015,44008,9,1
118487,25138,10,1
494335,25138,18,1
550316,25138,5,1
660093,25138,9,1
873055,25138,5,1
1049761,25138,2,1
1124552,25138,1,1
1158739,25138,1,1
1458757,25138,1,1
1635616,25138,2,1
1722743,25138,4,1
1795681,25138,5,1
1839350,25138,8,1
1943952,25138,1,1
2132222,25138,10,1
2230270,25138,2,1
2334990,25138,19,1
2991550,25138,12,0
3206573,25138,7,0
3244702,25138,7,0
847351,10761,8,1
885550,10761,10,1
1082592,10761,12,1
1440734,10761,4,0
1610917,10761,2,1
2153224,10761,19,1
2612359,10761,14,0
3347922,10761,17,1
610431,35628,4,1
661390,35628,9,1
703577,35628,5,1
1192832,35628,6,1
1347475,35628,2,1
1564051,35628,13,1
1827441,35628,3,1
1939675,35628,8,1
2207791,35628,5,1
2650337,35628,18,0
2995616,35628,11,1
3037280,35628,19,1
3347922,35628,19,1
43863,18523,1,1
130214,18523,15,1
288823,18523,4,1
323280,18523,5,1
400276,18523,17,1
502130,18523,7,1
521908,18523,8,1
739694,18523,6,1
984783,18523,2,1
1156686,18523,15,1
1418834,18523,7,0
1428761,18523,13,1
1549453,18523,7,1
1601415,18523,9,1
1625470,18523,8,0
1970891,18523,6,1
1990929,18523,3,0
2178998,18523,5,1
2221752,18523,12,0
2411576,18523,3,1
2416945,18523,13,1
2487922,18523,7,0
2504989,18523,12,1
2664106,18523,15,0
2710611,18523,9,1
2816164,18523,6,1
2858573,18523,16,1
2899775,18523,3,1
3025326,18523,16,0
3088706,18523,9,1
3275363,18523,3,1
13231,4793,4,0
392703,4793,16,1
541402,4793,6,1
610431,4793,2,1
1769159,4793,3,1
1869779,4793,17,1
1930720,4793,19,0
2195144,4793,2,0
2240676,4793,3,1
253680,12395,9,0
1036128,12395,1,1
1290411,12395,6,1
3313031,12395,4,1
117249,30949,3,1
1075662,30949,2,1
1087743,30949,6,0
1167992,30949,20,1
1227402,30949,6,1
1795348,30949,35,1
1880731,30949,6,1
2373047,30949,6,1
2787061,30949,3,1
3024070,30949,5,1
3352252,30949,8,1
164766,28465,22,1
357382,28465,27,1
489257,28465,1,1
532344,28465,3,1
593202,28465,4,1
661390,28465,10,1
884104,28465,2,1
956576,28465,15,0
1129561,28465,4,1
1266840,28465,2,1
1416587,28465,2,1
1500260,28465,12,1
1560215,28465,12,1
1867120,28465,4,1
1870562,28465,3,1
2002099,28465,4,1
2047014,28465,6,1
2050036,28465,4,1
2592974,28465,3,1
2671351,28465,7,1
2774450,28465,4,0
2856532,28465,9,0
2891979,28465,4,1
3065055,28465,1,1
3162143,28465,10,1
3167214,28465,13,1
3232538,28465,1,1
3378606,28465,9,1
117249,46584,5,1
561520,46584,2,1
913184,46584,5,1
1290411,46584,4,1
1645130,46584,5,1
1907407,46584,7,1
1981073,46584,29,0
2183135,46584,3,1
2239677,46584,5,1
2407182,46584,7,1
2489811,46584,7,1
2766536,46584,4,0
2978581,46584,6,1
3009115,46584,16,0
3011475,46584,7,1
3256282,46584,6,0
3320077,46584,4,0
3347815,46584,16,0
108499,22124,2,1
117194,22124,1,1
306083,22124,12,0
670107,22124,15,0
817226,22124,9,1
880778,22124,2,1
957706,22124,1,0
981654,22124,3,1
1966286,22124,25,1
2047014,22124,4,1
2178998,22124,7,1
2435331,22124,5,1
2504989,22124,14,1
3088706,22124,3,1
82865,24954,13,1
108499,24954,10,1
169896,24954,7,1
180800,24954,2,1
306083,24954,11,0
475092,24954,7,0
521908,24954,9,1
819444,24954,5,1
823584,24954,2,1
956560,24954,7,0
1265487,24954,1,0
1915275,24954,3,1
2178998,24954,16,1
2295233,24954,3,1
2860602,24954,7,0
2918654,24954,6,1
3088706,24954,11,1
3171920,24954,17,1
3281228,24954,8,1
3353727,24954,5,1
3393532,24954,7,1
20140,28156,8,1
24905,28156,28,1
173968,28156,3,0
525824,28156,7,1
723013,28156,10,0
746153,28156,4,1
781003,28156,1,1
798821,28156,3,1
929266,28156,3,0
1270624,28156,17,0
1283284,28156,10,1
1339139,28156,3,1
2257964,28156,4,0
2440693,28156,20,0
2623308,28156,14,0
2852888,28156,29,0
2906652,28156,5,1
3077711,28156,9,1
3188647,28156,3,1
1324387,38579,1,1
1325843,38579,1,1
2047493,38579,1,0
2322140,38579,8,1
309576,14917,3,1
2386060,14917,8,0
2852888,14917,5,0
3298187,14917,2,1
98880,6104,1,1
272853,6104,9,0
275937,6104,1,1
604356,6104,3,0
612302,6104,6,1
658527,6104,8,0
705613,6104,6,1
861035,6104,2,1
1287145,6104,4,1
1346413,6104,2,1
1418834,6104,3,1
1428588,6104,1,0
1479228,6104,2,1
1491781,6104,9,1
1546610,6104,12,0
1595264,6104,8,1
1648047,6104,8,1
2008163,6104,1,1
2211382,6104,15,1
2375944,6104,1,0
2378181,6104,1,1
2550730,6104,1,0
2574905,6104,6,1
2629157,6104,18,0
2641400,6104,13,1
2698171,6104,22,0
2751797,6104,5,1
2764249,6104,10,0
3195858,6104,6,0
3275363,6104,25,1
3299663,6104,9,1
3366796,6104,3,1
3386657,6104,20,1
112828,7054,17,1
251422,7054,5,1
312489,7054,7,1
1258220,7054,8,1
1511076,7054,17,1
1864947,7054,8,1
2514510,7054,5,1
2636818,7054,2,1
436211,8309,5,1
506303,8309,4,0
741262,8309,8,1
929266,8309,5,1
956576,8309,7,0
977352,8309,17,1
981654,8309,16,1
1474355,8309,7,0
1504016,8309,5,1
1729169,8309,6,1
1844002,8309,1,1
1863491,8309,3,1
2002099,8309,3,1
2050036,8309,5,1
2619312,8309,20,1
2630730,8309,2,1
2671351,8309,3,1
2907476,8309,4,1
2989947,8309,4,0
3121687,8309,5,1
160448,30169,3,1
240663,30169,8,1
289030,30169,4,0
352322,30169,24,1
356422,30169,7,1
411488,30169,18,1
448333,30169,4,0
472016,30169,24,1
1013697,30169,3,1
1135318,30169,9,0
1292303,30169,4,1
1601415,30169,12,1
2288502,30169,1,0
2397705,30169,2,0
2574031,30169,1,1
2641330,30169,13,1
2671822,30169,7,0
2918167,30169,7,1
3242894,30169,3,0
3353332,30169,3,1
3420412,30169,1,1
82865,24799,5,1
164766,24799,23,1
532344,24799,8,1
593202,24799,2,1
661390,24799,20,1
830512,24799,14,1
918879,24799,3,1
929266,24799,10,0
956560,24799,3,0
956576,24799,6,0
1008961,24799,26,0
1290493,24799,6,0
1500260,24799,13,1
1514162,24799,6,1
1546610,24799,5,1
1560215,24799,11,1
1844002,24799,4,1
1867120,24799,8,1
1934204,24799,9,0
2050036,24799,3,0
2619312,24799,7,1
2671351,24799,8,1
3232538,24799,2,1
3404285,24799,5,0
1886817,15712,1,0
2207791,15712,9,0
2325784,15712,11,1
1218025,37022,1,1
2111079,37022,9,1
2956143,37022,20,1
3166798,37022,8,1
3351802,37022,5,0
1710988,17560,9,0
156636,49628,19,1
796437,49628,8,1
1053768,49628,19,1
1851920,49628,5,1
3069522,49628,6,1
3178739,49628,1,1
3183265,49628,10,0
156410,31215,13,1
248107,31215,1,1
252470,31215,12,1
651949,31215,1,0
858869,31215,12,0
891762,31215,12,0
1265218,31215,1,0
1411700,31215,6,1
1459024,31215,5,1
1548566,31215,21,0
1631127,31215,4,1
1661734,31215,6,0
